15 916
4	21
4	49
4	149
1	312
2	312
3	312
5	312
4	313
6	313
7	313
8	313
9	313
10	313
11	313
12	313
13	313
15	323
6	334
1	384
2	384
3	384
4	384
5	384
6	384
7	384
13	384
8	385
9	385
10	385
11	385
12	385
14	434
4	448
1	593
2	593
3	593
4	593
5	593
6	594
7	594
8	594
9	594
10	594
11	594
12	594
13	594
15	603
1	623
2	623
3	623
5	623
6	624
7	624
8	624
9	624
10	624
12	624
13	624
4	635
6	645
4	659
1	660
2	660
3	660
5	661
7	661
8	661
9	661
10	661
11	661
13	661
6	666
12	666
9	682
7	692
7	756
7	791
1	805
2	805
3	805
4	805
5	805
6	805
13	805
8	806
9	806
10	806
11	806
12	806
7	812
15	815
7	833
4	852
7	862
4	884
14	905
13	912
