30 916
4	21
11	26
10	28
8	63
30	70
8	92
17	129
15	135
4	164
1	167
11	178
5	183
6	188
16	232
2	233
3	233
27	233
15	237
9	238
18	238
19	239
21	239
28	239
17	240
22	240
30	241
7	242
14	242
23	242
29	242
8	243
13	244
4	245
12	246
6	248
11	250
1	260
5	268
6	296
1	387
26	395
16	409
2	410
3	410
27	410
24	414
30	416
9	421
10	424
15	426
18	427
25	427
17	430
23	430
13	431
29	431
12	433
21	433
22	435
28	435
19	436
4	453
11	456
6	483
25	538
1	541
6	562
11	565
5	585
8	588
22	617
20	621
5	626
8	626
26	638
5	677
1	705
8	708
10	746
9	762
30	764
10	798
6	833
8	900
