46 916
31	21
35	21
36	21
37	21
43	21
13	28
19	30
41	32
33	33
10	36
39	37
20	40
24	40
21	41
40	47
45	65
7	71
44	74
23	75
2	77
34	78
3	86
1	89
4	90
43	91
27	93
36	93
37	93
7	94
19	97
25	99
5	100
30	125
13	131
27	135
9	138
12	142
33	144
25	145
17	149
26	151
9	159
2	176
27	179
33	197
19	213
24	222
34	226
14	231
11	234
40	236
22	240
1	242
27	243
36	246
37	252
17	255
31	257
9	265
27	266
14	285
15	288
19	293
41	297
26	298
43	306
10	310
7	317
26	319
3	326
44	327
36	329
37	331
17	332
15	333
19	333
4	335
35	340
10	353
9	354
15	354
7	361
25	364
41	364
3	371
17	371
24	371
15	375
30	375
2	379
21	380
38	382
15	402
17	407
36	429
37	429
19	434
12	435
1	436
27	437
29	445
2	450
17	453
32	453
14	455
15	457
27	464
19	465
43	473
41	475
33	487
9	488
41	496
6	497
20	497
12	500
8	501
13	503
25	506
21	516
4	520
2	523
24	524
28	524
38	525
3	526
9	530
12	533
17	535
14	539
15	543
3	547
26	550
38	556
19	557
9	559
7	565
31	575
38	580
15	585
22	588
1	591
42	592
26	596
27	597
17	603
10	605
7	611
32	615
27	618
21	620
19	621
24	621
30	622
26	624
44	634
11	639
10	641
21	641
7	643
29	647
2	648
18	649
19	654
36	654
37	654
12	658
34	663
7	665
21	678
25	679
15	696
19	696
37	696
21	699
24	700
34	705
14	707
18	707
1	710
2	711
10	711
7	712
15	717
16	717
41	717
27	723
8	729
2	732
17	732
22	736
11	746
13	751
2	753
18	753
12	755
30	757
29	762
9	765
21	765
19	767
32	772
42	772
19	789
23	792
44	792
1	796
46	807
5	811
14	813
19	813
4	814
45	839
34	840
36	842
44	842
26	849
23	857
27	859
2	880
10	886
21	886
24	886
20	887
9	894
32	894
2	901
36	912
