DIV0,DIV1,DIV2,DIV3,DIV4,"DIV5,",DIV6,DIV9,DIV12,DIV15,DIV18,DIV21
8600,10000,9000,9000,9000,10000,11000,11000,11500,10500,10000,12250
7800,9500,10000,12000,10000,9500,10000,10000,12000,11500,12000,12000
9000,9000,9500,9000,10500,11000,11000,12000,11000,11500,11500,11250
7200,9500,8500,9500,10500,10500,12000,13000,12500,12500,10500,11250
8200,8500,10500,12000,12000,11500,10500,11000,12000,12000,12500,11250
8300,NaN,NaN,8500,NaN,NaN,9500,NaN,NaN,NaN,NaN,NaN
7600,NaN,NaN,10500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
