DIV1,DIV2,DIV3,DIV4,DIV5,DIV6,DIV7,DIV8,DIV9,DIV10,DIV11,"DIV12,",DIV13,DIV14
1350.22,1139.169,1043.145,1191.441,1175.056,1300.234,1351.517,1433.875,1529.728,1593.089,1620.735,1723.092,1750.636,1769.644
1231.858,1127.673,1043.395,1172.766,1186.137,1298.8,1337.729,1394.086,1557.464,1694.985,1711.585,1744.187,1727.222,1817.249
1211.655,1126.044,1051.155,1107.517,1147.247,1269.27,1347.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1085.757,929.648,961.156,1011.514,1027.75,1098.439,1235.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1101.8,955.578,984.198,1013.328,1071.327,1146.034,1189.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1147.375,1001.387,1134.003,1135.578,1227.752,1313.313,1376.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250.356,1046.257,1116.839,1176.23,1245.016,1386.687,1510.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1247.244,1044.058,1117.248,1158.744,1189.342,1314.036,1472.169,1490.81,NaN,NaN,NaN,NaN,NaN,NaN
1100.729,872.626,922.982,1222.543,1157.592,1284.68,1344.509,1429.161,NaN,NaN,NaN,NaN,NaN,NaN
1343.317,1102.148,1159.744,1207.282,1233.987,1411.369,1390.47,1449.941,NaN,NaN,NaN,NaN,NaN,NaN
1219.947,1211.369,1215.775,1266.914,1300.44,1398.503,1458.986,1523.538,NaN,NaN,NaN,NaN,NaN,NaN
1266.622,1072.362,1208.127,1178.086,1262.12,1317.938,1383.809,1476.728,NaN,NaN,NaN,NaN,NaN,NaN
1234.268,885.514,1051.781,1219.304,1197.848,1320.157,1444.298,1485.842,1569.176,1642.021,1698.863,1718.269,1692.922,1752.081
1238.85,1104.431,1161.192,1156.566,1323.2,1389.539,1492.201,1611.072,1746.568,1801.107,1804.417,1843.477,1862.107,1830.479
1385.57,1106.572,1119.77,1182.352,1235.245,1367.89,1480.967,1559.38,1614.446,NaN,NaN,NaN,NaN,NaN
1389.52,1106.091,1118.169,1116.655,1196.796,1331.523,1432.225,1554.082,1613.352,NaN,NaN,NaN,NaN,NaN
1145.707,1013.928,1122.054,1302.078,1249.808,1499.984,1619.824,1583.055,1750.394,NaN,NaN,NaN,NaN,NaN
1332.654,1043.807,1111.006,1147.023,1212.794,1344.7,1383.865,1509.988,1648.129,NaN,NaN,NaN,NaN,NaN
1351.705,1104.085,1190.143,1201.525,1250.859,1412.144,1431.263,1552.735,1635.894,NaN,NaN,NaN,NaN,NaN
1042.73,868.781,981.148,1183.134,1163.377,1226.092,1394.489,1438.612,1528.346,1616.799,NaN,NaN,NaN,NaN
1291.232,1115.64,1206.057,1189.823,1284.904,1350.457,1410.367,1484.131,1586.071,1748.177,NaN,NaN,NaN,NaN
1450.043,1176.124,1168.149,1203.493,1289.145,1298.777,1410.987,1572.572,1661.483,1727.192,NaN,NaN,NaN,NaN
1384.662,1142.191,1162.721,1220.25,1224.913,1330.437,1443.377,1528.049,1655.089,1779.776,NaN,NaN,NaN,NaN
1357.979,1248.541,1230.368,1265.986,1284.711,1409.61,1503.546,1618.984,1727.029,1769.609,NaN,NaN,NaN,NaN
1593.595,1127.38,1191.393,1326.494,1274.77,1377.338,1495.148,1578.107,1720.559,1804.693,1830.463,1863.761,1901.137,1916.182
1402.845,1015.774,1123.67,1191.774,1214.959,1294.578,1405.509,1529.987,1650.787,1787.122,1796.212,1821.15,1889.653,1861.941
1399.667,1136.787,1197.962,1266.485,1310.775,1409.682,1502.229,1609.04,1682.463,1870.675,1811.48,NaN,NaN,NaN
1254.235,1115.078,1118.515,1241.541,1209.872,1345.026,1443.047,1499.002,1629.839,1762.271,1779.574,NaN,NaN,NaN
1315.721,1060.325,1155.572,1231.434,1261.355,1353.86,1419.842,1571.321,1629.935,1703.872,1725.491,NaN,NaN,NaN
1159.393,1005.537,1029.643,1119.459,1159.617,1336.921,1379.441,1534.849,1640.912,1737.821,1660.448,NaN,NaN,NaN
1035.882,1000.458,1034.3,1143.931,1185.084,1366.456,1418.903,1502.904,1600.745,1735.66,1690.419,NaN,NaN,NaN
1186.876,1030.454,1099.681,1117.95,1243,1324.133,1386.91,1460.358,1575.472,1694.448,1745.766,1772.845,NaN,NaN
928.291,916.271,1424.373,1239.899,1246.927,1433.695,1458.289,1589.001,1624.212,1728.414,1707.743,1741.512,NaN,NaN
1336.946,1159.333,1121.372,1225.062,1218.163,1317.684,1416.957,1534.517,1616.075,1694.03,1709.684,1746.912,NaN,NaN
1303.311,1015.984,1106.029,1212.683,1217.559,1303.823,1409.979,1554.777,1558.532,1706.609,1738.516,1810.689,NaN,NaN
1189.596,930.399,1372.158,1305.328,1356.16,1447.452,1464.398,1588.463,1676.271,1737.873,1763.62,1788.357,NaN,NaN
1318.922,1071.377,1143.488,1165.103,1244.621,1384.181,1448.236,1534.756,1633.654,1741.967,1732.132,1777.597,1778.644,1813.078
1345.948,1099.57,1159.584,1208.873,1275.251,1351.208,1427.106,1548.616,1607.563,1690.445,1677.416,1748.724,1735.496,1716.076
1261.229,1030.627,1097.692,1125.961,1203.89,1291.064,1408.221,1505.368,1599.245,1655.351,1711.139,1746.928,1764.775,NaN
1434.625,1123.664,1218.955,1196.597,1285.175,1388.792,1486.189,1582.507,1650.805,1809.646,1865.373,1835.425,1839.25,NaN
1234.227,1108.938,1246.389,1196.738,1279.876,1404.308,1475.081,1570.06,1662.957,1722.025,1872.481,1877.461,1924.416,NaN
1356.135,1061.147,1167.86,1163.478,1289.635,1327.065,1413.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1647.154,1072.286,1181.484,1210.861,1280.359,1394.425,1530.589,1524.641,1589.426,1696.914,1751.825,1809.855,1869.377,NaN
1291.285,1044.701,1151.625,1245.066,1277.176,1379.503,1468.469,1600.316,1712.51,1760.078,1763.759,1820.862,1821.953,1824.261
1515.99,1121.231,1118.06,1268.428,1328.855,1403.717,1492.274,1527.93,1568.136,1684.019,1767.823,1794.575,1785.255,1766.063
1291.061,1124.031,1136.388,1203.168,1241.309,1366.194,1466.62,1573.358,1643.093,1732.267,1782.708,1852.444,1815.824,1807.451
1350.615,1134.221,1164.148,1267.623,1285.843,1449.94,1509.286,1511.86,1612.594,1654.354,1732.832,1798.852,1755.931,1751.894
1429.018,1077.31,1117.403,1178.681,1274.994,1352.884,1488.838,1557.846,1646.166,1751.751,1822.692,2071.797,1884.857,1890.973
1907.458,NaN,NaN,NaN,NaN,NaN,NaN,1570.718,1648.929,NaN,1688.07,1724.503,1770.288,1775.454
1770.635,NaN,NaN,NaN,NaN,NaN,NaN,1451.715,1646.53,NaN,1700.856,1740.409,1736.223,1774.494
1834.742,NaN,NaN,NaN,NaN,NaN,NaN,1606.646,1596.203,NaN,1686.473,1722.931,1718.507,1745.561
1680.067,NaN,NaN,NaN,NaN,NaN,NaN,1534.001,1603.448,NaN,1650,1687.567,1751.195,1769.849
2031.937,NaN,NaN,NaN,NaN,NaN,NaN,1650.642,1664.081,NaN,1754.061,1757.977,1808.217,1820.182
2056.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1704.272,NaN,1827.898,1790.932,1823.628,1871.811
1833.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1708.945,NaN,1733.144,1775.076,1825.397,1814.041
1603.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1703.977,NaN,1709.72,1725.824,1766.983,1777.539
1707.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1671.415,NaN,1746.551,1747.05,1787.816,1812.127
1661.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1652.162,NaN,1673.922,1703.865,1732.879,1771.783
1711.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1757.015,1728.778,1780.487,1813.584
1634.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.283,1712.03,1748.336,1818.959
1941.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1760.459,1764.088,1774.46,NaN
1819.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1697.249,1715.126,1773.543,NaN
1487.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1737.457,1762.103,1785.402,NaN
1634.761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1754.896,1770.833,1779.107,NaN
1682.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1712.817,1720.481,1796.72,NaN
1561.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1691.724,1715.047,1755.346,NaN
1993.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1620.961,1668.336,1681.147,NaN
1493.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1614.921,1665.451,1678.136,NaN
1643.61,NaN,NaN,NaN,NaN,NaN,NaN,1617.56,1658.536,1652.256,1769.685,1741.235,1780.797,1826.482
1825.285,NaN,NaN,NaN,NaN,NaN,NaN,1633.047,NaN,1732.147,1768.291,1842.093,1816.139,1796.482
1629.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1766.305,NaN,1789.645,1798.103,1811.889
1750.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1671.297,NaN,1734.626,1753.718,1807.297
1665.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1680.326,NaN,1730.62,1762.728,1733.961
1832.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1728.502,NaN,1824.661,1794.178,1804.031
1678.402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.093,NaN,NaN,1790.864,1837.936
1897.484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1701.779,NaN,NaN,1785.504,1814.009
1804.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1740.894,NaN,NaN,1791.717,1797.521
1782.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1718.1,NaN,NaN,1778.197,1812.463
1879.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1700.232,NaN,NaN,1734.309,1803.587
1730.411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1706.678,NaN,NaN,1785.808,1769.956
1847.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1687.351,NaN,NaN,NaN,1805.534
1809.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1697.203,NaN,NaN,NaN,1791.23
2337.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1703.085,NaN,NaN,NaN,1740.097
2108.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1750.199,NaN,NaN,NaN,1798.173
1774.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1780.923
1645.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1758.919
1822.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1787.267
1984.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1719.718
1617.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1726.607
1889.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1751.916
1727.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1773.315
1678.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1721.405
