DIV3,DIV6,DIV9,DIV12,DIV15,DIV18,DIV21
114.89,272.09,281.79,308.2,505.8,374.9,442
110.8,238.07,311.74,331.4,483.1,411.8,421.9
131.53,192.72,246.06,287.4,473.8,488.6,346
136.22,176.43,407.6,415.9,561.9,324.4,413.4
150.74,254.71,451.67,429.9,460.6,553.3,317.3
154.18,248.54,441.49,552.4,394.2,516.2,549.2
NaN,244.28,NaN,426.9,NaN,NaN,590.4
NaN,NaN,NaN,392.2,NaN,NaN,518.2
NaN,NaN,NaN,439.2,NaN,NaN,604.4
