DIV1,DIV2,DIV3,DIV4,DIV5,DIV6,DIV7,DIV8,DIV9,DIV10,DIV11,"DIV12,",DIV13,DIV14
82018.026,86782.007,121121.285,99011.71,169905.777,190098.304,210482.819,235065.64,256537.141,283999.769,280877.155,296744.325,297337.227,298463.739
50935.877,61714.725,78655.429,151867.458,109703.698,122047.341,138939.384,160622.635,175535.517,192077.466,205674.671,215999.625,226070.479,226965.478
35046.119,34563.328,45704.228,94833.167,70326.576,79982.398,91323.755,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49097.882,47307.885,51703.825,64177.341,76072.072,88438.302,93610.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36344.856,38072.74,42344.453,67853.33,64033.351,68113.077,73934.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28080.939,34264.054,39204.899,50879.41,50388.149,56963.707,61771.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75942.199,89110.256,111112.545,46220.899,154284.237,171472.73,187252.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76845.668,95177.614,109768.635,132044.788,150503.784,167203.84,185453.91,207060.931,NaN,NaN,NaN,NaN,NaN,NaN
93842.174,85900.119,95064.681,128910.88,154247.533,179115.512,203969.374,230613.233,NaN,NaN,NaN,NaN,NaN,NaN
97859.787,104864.494,130551.241,125384.529,162011.718,182034.845,204491.691,232120.897,NaN,NaN,NaN,NaN,NaN,NaN
65843.112,91351.988,101050.161,137431.72,136525.428,160944.496,177712.312,189985.371,NaN,NaN,NaN,NaN,NaN,NaN
87808.697,91298.345,107001.762,114322.683,158214.326,182006.612,205796.075,224218.368,NaN,NaN,NaN,NaN,NaN,NaN
70772.78,98153.414,121573.02,134342.986,165851.461,185420.03,211143.48,221810.059,254032.838,272949.216,280301.193,288488.879,288534.053,299251.451
67681.661,81916.386,95818.512,145074.502,159843.393,175521.4,196809.383,218786.262,240859.134,259603.288,247002.722,260162.309,284891.944,291035.532
60868.897,83700.737,107317.976,134532.15,153281.951,169880.367,184423.391,214664.185,234997.88,NaN,NaN,NaN,NaN,NaN
62791.234,93057.286,113340.16,128837.473,161523.28,177362.218,207721.592,219974.888,237445.716,NaN,NaN,NaN,NaN,NaN
76416.763,108424.725,123148.443,131881.034,181018.443,183853.076,209158.672,233397.046,263448.677,NaN,NaN,NaN,NaN,NaN
85505.575,107306.683,125020.318,153208.544,170583.378,205796.075,225584.864,229314.497,253502.05,NaN,NaN,NaN,NaN,NaN
67112.649,88698.049,97616.98,150088.753,141102.062,159312.605,173516.829,203695.51,229464.134,NaN,NaN,NaN,NaN,NaN
73894.656,101242.148,114596.546,131454.71,149580.552,178161.223,195869.211,221716.889,239597.101,265518.185,NaN,NaN,NaN,NaN
68542.868,81766.749,92820.125,136017.227,139430.645,181080.556,203212.718,210858.323,238383.065,255656.259,NaN,NaN,NaN,NaN
217793.156,173689.052,187865.042,119746.319,227801.186,252234.371,272875.809,290787.078,322428.249,346980.014,NaN,NaN,NaN,NaN
62698.962,78237.574,106716.605,194245.791,147759.498,167765.685,186411.022,208297.554,230599.116,258936.98,NaN,NaN,NaN,NaN
68266.052,96177.076,118235.832,133611.741,154583.511,174750.628,199954.584,217453.645,239961.312,268725.499,NaN,NaN,NaN,NaN
75494.041,86080.813,92379.684,121965.464,151418.547,162700.613,174536.054,210415.059,228557.841,252169.434,259871.505,273827.275,276201.704,284649.137
69357.939,83655.564,103466.94,128507.143,148496.39,176156.651,195473.944,213441.679,237705.463,257211.919,269047.36,276735.315,282785.732,292015.231
72049.212,71707.189,85965.056,130938.038,146424.058,171571.547,191877.008,205158,220813.42,246443.7,266689.871,NaN,NaN,NaN
70649.75,79765.001,96273.07,121050.702,141246.053,163691.605,190061.601,202893.681,224828.209,246042.786,267742.977,NaN,NaN,NaN
87581.699,101643.063,112052.717,138233.549,158378.08,185151.813,205959.828,234069.001,256243.513,273488.474,277737.601,NaN,NaN,NaN
69204.152,91834.78,114119.402,138549.763,158242.559,177269.047,197540.628,214991.693,238304.011,256316.92,260950.021,NaN,NaN,NaN
66374.471,94835.99,111335.589,127273.343,143953.636,172172.919,190166.064,215920.572,247251.175,272042.924,263595.491,NaN,NaN,NaN
68988.85,77503.506,85773.069,107690.657,121098.698,155602.736,170831.832,187212.851,211067.25,237835.337,246838.968,253050.316,NaN,NaN
81030.373,75140.37,97986.837,141915.184,151904.161,165823.227,190722.262,226719.847,257562.013,276080.3,282771.616,293068.337,NaN,NaN
57039.6,75628.808,99771.188,119461.161,136056.754,57161.341,168265.416,237505.006,252073.44,258386.428,298057.178,308320.019,NaN,NaN
85259.516,92935.882,116793.105,143453.904,167669.691,184601.261,198376.337,218311.941,243388.846,265388.312,277768.657,286950.159,NaN,NaN
69188.774,80716.467,101459.546,113856.831,129204.508,163406.448,174084.32,183181.121,216541.707,238309.658,248171.584,246771.208,NaN,NaN
